Original Name,Marke,Branche,New Name
240229_Sounds_großes_Hörexperiment/Mobility/Ford_Mustang_Mobility-002.mp3,Ford,Mobility,/21/2.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-092.mp3,Apple,Consumer,/21/3.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-006.mp3,Steam,Apps,/21/4.mp3
240229_Sounds_großes_Hörexperiment/health/olympus_ESG-300Start_health.mp3,Olympus,Health,/21/5.mp3
240229_Sounds_großes_Hörexperiment/home/Bose_SmartSpeaker_home-003.mp3,Bose,Home,/21/6.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_iphoneXs_OS-004.mp3,Apple,Os,/21/7.mp3
240229_Sounds_großes_Hörexperiment/health/PuritanBennett980Ventilator_health.mp3,Puritanbennett980ventilator,Health,/22/1.mp3
240229_Sounds_großes_Hörexperiment/apps/skype_apps-003.mp3,Skype,Apps,/22/2.mp3
240229_Sounds_großes_Hörexperiment/home/applehomepod_home-022.mp3,Applehomepod,Home,/22/3.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-094.mp3,Sil,Future,/22/4.mp3
240229_Sounds_großes_Hörexperiment/home/applehomepod_home-011.mp3,Applehomepod,Home,/22/5.mp3
240229_Sounds_großes_Hörexperiment/Mobility/DB_WDB_Mobility-001.mp3,Db,Mobility,/22/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/nikola_motors_mobility-001.mp3,Nikola,Mobility,/22/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-039.mp3,Sil,Future,/23/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-042.mp3,Apple,Consumer,/23/2.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Sportwagen_WDB_mobility-003.mp3,Sportwagen,Mobility,/23/3.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Watch_consumer-017.mp3,Apple,Consumer,/23/4.mp3
240229_Sounds_großes_Hörexperiment/os/Linux_Mint_OS-003.mp3,Linux,Os,/23/5.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_welcome_mobility.mp3,Skoda,Mobility,/23/6.mp3
240229_Sounds_großes_Hörexperiment/apps/danskeBank_apps.mp3,Danskebank,Apps,/23/7.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Sportwagen_WDB_mobility-004.mp3,Sportwagen,Mobility,/24/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Watch_consumer-024.mp3,Apple,Consumer,/24/2.mp3
240229_Sounds_großes_Hörexperiment/os/windows_10_OS-049.mp3,Windows,Os,/24/3.mp3
240229_Sounds_großes_Hörexperiment/health/PhilipsTrilogy100Menus_health-002.mp3,Philipstrilogy100menus,Health,/24/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-005.mp3,Jabra,Consumer,/24/5.mp3
240229_Sounds_großes_Hörexperiment/apps/Samsung_One_Apps-001.mp3,Samsung,Apps,/24/6.mp3
240229_Sounds_großes_Hörexperiment/os/Microsoft_surface_OS-004.mp3,Microsoft,Os,/24/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-011.mp3,Sil,Future,/25/1.mp3
240229_Sounds_großes_Hörexperiment/os/oppo_OS-014.mp3,Oppo,Os,/25/2.mp3
240229_Sounds_großes_Hörexperiment/home/simplehuman_home-005.mp3,Simplehuman,Home,/25/3.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-048.mp3,Sil,Future,/25/4.mp3
240229_Sounds_großes_Hörexperiment/health/erbe_health-003.mp3,Erbe,Health,/25/5.mp3
240229_Sounds_großes_Hörexperiment/health/vierra_health-018.mp3,Vierra,Health,/25/6.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_wdb_mobility-015.mp3,Skoda,Mobility,/25/7.mp3
240229_Sounds_großes_Hörexperiment/health/löwenstein_health-005.mp3,Löwenstein,Health,/26/1.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-076.mp3,Sil,Future,/26/2.mp3
240229_Sounds_großes_Hörexperiment/Mobility/oooono_mobility-002.mp3,Oooono,Mobility,/26/3.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_BigSur_OS-008.mp3,Apple,Os,/26/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/oculus_consumer-001.mp3,Oculus,Consumer,/26/5.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_BigSur_OS-001.mp3,Apple,Os,/26/6.mp3
240229_Sounds_großes_Hörexperiment/health/HamiltonT1_health-003.mp3,Hamiltont1,Health,/26/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/Nintendo_Wii_consumer-005.mp3,Nintendo,Consumer,/27/1.mp3
240229_Sounds_großes_Hörexperiment/health/vierra_health-011.mp3,Vierra,Health,/27/2.mp3
240229_Sounds_großes_Hörexperiment/apps/paypal_apps-002.mp3,Paypal,Apps,/27/3.mp3
240229_Sounds_großes_Hörexperiment/os/HP_tablet_OS-006.mp3,Hp,Os,/27/4.mp3
240229_Sounds_großes_Hörexperiment/home/MieleWaschmaschine_home-001.mp3,Mielewaschmaschine,Home,/27/5.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-001.mp3,Medicaldevices,Health,/27/6.mp3
240229_Sounds_großes_Hörexperiment/apps/nickelodeon_apps-004.mp3,Nickelodeon,Apps,/27/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-074.mp3,Apple,Consumer,/28/1.mp3
240229_Sounds_großes_Hörexperiment/home/applehomepod_home-008.mp3,Applehomepod,Home,/28/2.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-031.mp3,Sil,Future,/28/3.mp3
240229_Sounds_großes_Hörexperiment/home/Festool_home-001.mp3,Festool,Home,/28/4.mp3
240229_Sounds_großes_Hörexperiment/apps/Whatsapp_apps.mp3,Whatsapp,Apps,/28/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-008.mp3,Jabra,Consumer,/28/6.mp3
240229_Sounds_großes_Hörexperiment/apps/Twitter_apps.mp3,Twitter,Apps,/28/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-010.mp3,Sil,Future,/29/1.mp3
240229_Sounds_großes_Hörexperiment/os/Windows_11_OS-011.mp3,Windows,Os,/29/2.mp3
240229_Sounds_großes_Hörexperiment/consumer/apple_watch_consumer-009.mp3,Apple,Consumer,/29/3.mp3
240229_Sounds_großes_Hörexperiment/home/ecobee_home-008.mp3,Ecobee,Home,/29/4.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-016.mp3,Medicaldevices,Health,/29/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-053.mp3,Apple,Consumer,/29/6.mp3
240229_Sounds_großes_Hörexperiment/apps/spotify_apps-005.mp3,Spotify,Apps,/29/7.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-009.mp3,Medicaldevices,Health,/30/1.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-004.mp3,Mercedes,Mobility,/30/2.mp3
240229_Sounds_großes_Hörexperiment/os/Windows_11_OS-016.mp3,Windows,Os,/30/3.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-006.mp3,Sil,Future,/30/4.mp3
240229_Sounds_großes_Hörexperiment/home/simplehuman_home-002.mp3,Simplehuman,Home,/30/5.mp3
240229_Sounds_großes_Hörexperiment/apps/nickelodeon_apps-007.mp3,Nickelodeon,Apps,/30/6.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-009.mp3,Jabra,Consumer,/30/7.mp3
240229_Sounds_großes_Hörexperiment/Mobility/nikola_motors_mobility-008.mp3,Nikola,Mobility,/31/1.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-047.mp3,Steam,Apps,/31/2.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_iphone5_OS-029.mp3,Apple,Os,/31/3.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-004.mp3,Jabra,Consumer,/31/4.mp3
